日付,クリック数,表示回数,CTR,掲載順位
2021-05-02,109,1516,7.19%,17.38
2021-05-01,144,1592,9.05%,16.7
2021-04-30,118,1742,6.77%,17.13
2021-04-29,215,2261,9.51%,14.16
2021-04-28,192,2128,9.02%,14.51
2021-04-27,253,3330,7.6%,13.6
2021-04-26,320,3539,9.04%,13.26
2021-04-25,218,2676,8.15%,13.85
2021-04-24,109,1544,7.06%,18.68
2021-04-23,187,2229,8.39%,19.45
2021-04-22,318,3281,9.69%,12.37
2021-04-21,259,3282,7.89%,12.38
2021-04-20,285,3154,9.04%,13.04
2021-04-19,245,3129,7.83%,14.79
2021-04-18,188,2281,8.24%,13.4
2021-04-17,107,1372,7.8%,15.17
2021-04-16,140,1701,8.23%,14.52
2021-04-15,266,2901,9.17%,15.8
2021-04-14,258,3085,8.36%,10.92
2021-04-13,268,3072,8.72%,12.53
2021-04-12,283,2853,9.92%,12.58
2021-04-11,181,2292,7.9%,12.59
2021-04-10,92,1090,8.44%,16.65
2021-04-09,110,1401,7.85%,17.68
2021-04-08,218,2579,8.45%,14.36
2021-04-07,254,2797,9.08%,12.17
2021-04-06,258,2776,9.29%,14.23
2021-04-05,246,2864,8.59%,12.36
2021-04-04,185,2168,8.53%,13.42
2021-04-03,104,1324,7.85%,17.52
2021-04-02,117,1708,6.85%,15.74
2021-04-01,224,2541,8.82%,14.27
2021-03-31,206,2568,8.02%,16.69
2021-03-30,224,2577,8.69%,14.43
2021-03-29,205,2637,7.77%,15.14
2021-03-28,181,2137,8.47%,16.72
2021-03-27,105,1282,8.19%,18.55
2021-03-26,139,1752,7.93%,16.87
2021-03-25,223,2501,8.92%,14.32
2021-03-24,209,2552,8.19%,13.46
2021-03-23,228,2647,8.61%,13.65
2021-03-22,232,2731,8.5%,15.07
2021-03-21,182,2138,8.51%,15.32
2021-03-20,131,1559,8.4%,17.48
2021-03-19,597,5546,10.76%,9.44
2021-03-18,246,2949,8.34%,13.11
2021-03-17,203,2796,7.26%,13.95
2021-03-16,199,2719,7.32%,14.67
2021-03-15,229,2613,8.76%,12.84
2021-03-14,200,2144,9.33%,14.56
2021-03-13,113,1499,7.54%,16.64
2021-03-12,145,1821,7.96%,13.75
2021-03-11,222,2769,8.02%,13.39
2021-03-10,209,2645,7.9%,13.06
2021-03-09,248,2810,8.83%,12.95
2021-03-08,247,2805,8.81%,12.74
2021-03-07,203,2641,7.69%,14.59
2021-03-06,126,1644,7.66%,15.26
2021-03-05,151,1772,8.52%,15.48
2021-03-04,233,2966,7.86%,14.36
2021-03-03,262,2854,9.18%,13.16
2021-03-02,256,2930,8.74%,12.54
2021-03-01,243,2826,8.6%,12.41
2021-02-28,218,2640,8.26%,13.94
2021-02-27,120,1513,7.93%,17.76
2021-02-26,139,1871,7.43%,16.13
2021-02-25,225,2820,7.98%,13.93
2021-02-24,248,2819,8.8%,12.37
2021-02-23,241,2653,9.08%,13.87
2021-02-22,195,2191,8.9%,14.28
2021-02-21,246,2495,9.86%,13.23
2021-02-20,137,1608,8.52%,16.32
2021-02-19,138,1884,7.32%,14.31
2021-02-18,243,3034,8.01%,12.28
2021-02-17,261,2932,8.9%,12.89
2021-02-16,251,2897,8.66%,12.88
2021-02-15,246,2692,9.14%,12.72
2021-02-14,264,2755,9.58%,13.91
2021-02-13,141,1602,8.8%,17.26
2021-02-12,173,1773,9.76%,13.95
2021-02-11,237,2481,9.55%,14.18
2021-02-10,185,2033,9.1%,13.63
2021-02-09,258,3017,8.55%,12.38
2021-02-08,292,3026,9.65%,13.69
2021-02-07,220,2548,8.63%,13.45
2021-02-06,161,1582,10.18%,15.27
2021-02-05,174,1937,8.98%,16.53
2021-02-04,277,2880,9.62%,12.55
2021-02-03,285,2865,9.95%,12.28
2021-02-02,316,3257,9.7%,13.7
2021-02-01,317,3047,10.4%,11.7
2021-01-31,311,2728,11.4%,12.57
2021-01-30,155,1832,8.46%,17.59
2021-01-29,176,1892,9.3%,15.34
2021-01-28,303,3146,9.63%,14.48
2021-01-27,331,3348,9.89%,14.29
2021-01-26,291,2968,9.8%,13.54
2021-01-25,263,3169,8.3%,12.68
2021-01-24,285,2918,9.77%,12.65
2021-01-23,180,1847,9.75%,14.2
2021-01-22,192,1994,9.63%,13.86
2021-01-21,271,3120,8.69%,12.86
2021-01-20,274,3205,8.55%,12.25
2021-01-19,339,3366,10.07%,12.58
2021-01-18,312,3458,9.02%,12.93
2021-01-17,262,2848,9.2%,12.2
2021-01-16,148,1731,8.55%,15.1
2021-01-15,175,1948,8.98%,13.98
2021-01-14,299,3282,9.11%,13.73
2021-01-13,304,3166,9.6%,11.82
2021-01-12,285,3100,9.19%,13.44
2021-01-11,243,2897,8.39%,12.35
2021-01-10,166,1946,8.53%,14
2021-01-09,114,1564,7.29%,16.29
2021-01-08,123,1824,6.74%,15.67
2021-01-07,281,3077,9.13%,12.06
2021-01-06,303,3141,9.65%,13.38
2021-01-05,265,3010,8.8%,13.56
2021-01-04,257,2542,10.11%,12.94
2021-01-03,178,2096,8.49%,16.19
2021-01-02,114,1416,8.05%,16.61
2021-01-01,112,1198,9.35%,16.76
2020-12-31,100,1147,8.72%,19.55
2020-12-30,152,1498,10.15%,17.05
2020-12-29,182,1794,10.14%,16.16
2020-12-28,140,1876,7.46%,16.52
2020-12-27,181,1905,9.5%,15.52
2020-12-26,110,1282,8.58%,17.29
2020-12-25,137,1597,8.58%,17.36
2020-12-24,233,2503,9.31%,13.08
2020-12-23,266,2844,9.35%,12.8
2020-12-22,330,3272,10.09%,13.4
2020-12-21,303,3088,9.81%,12.17
2020-12-20,243,2568,9.46%,12.95
2020-12-19,118,1471,8.02%,16.79
2020-12-18,124,1642,7.55%,15.8
2020-12-17,259,2782,9.31%,12.44
2020-12-16,250,2779,9%,13.63
2020-12-15,255,2947,8.65%,12.85
2020-12-14,254,2915,8.71%,12.95
2020-12-13,229,2633,8.7%,12.98
2020-12-12,140,1500,9.33%,16.18
2020-12-11,157,1659,9.46%,14.7
2020-12-10,257,2750,9.35%,12.99
2020-12-09,255,2675,9.53%,11.84
2020-12-08,294,3011,9.76%,12.04
2020-12-07,312,3125,9.98%,12.7
2020-12-06,251,2621,9.58%,13.88
2020-12-05,123,1430,8.6%,17.64
2020-12-04,138,1739,7.94%,18
2020-12-03,238,2871,8.29%,12.09
2020-12-02,253,3003,8.42%,13.06
2020-12-01,273,2843,9.6%,12.14
2020-11-30,240,2674,8.98%,12.49
2020-11-29,212,2443,8.68%,13.14
2020-11-28,120,1365,8.79%,17.06
2020-11-27,129,1536,8.4%,16.26
2020-11-26,268,2800,9.57%,11.55
2020-11-25,256,2869,8.92%,12.33
2020-11-24,283,2961,9.56%,12.54
2020-11-23,271,2619,10.35%,12.57
2020-11-22,172,1625,10.58%,15.2
2020-11-21,108,1260,8.57%,17.31
2020-11-20,113,1450,7.79%,14.84
2020-11-19,230,2611,8.81%,13.58
2020-11-18,235,2694,8.72%,12.82
2020-11-17,283,2915,9.71%,12.3
2020-11-16,272,2926,9.3%,13.12
2020-11-15,201,2233,9%,12.81
2020-11-14,126,1241,10.15%,15.94
2020-11-13,129,1425,9.05%,17.66
2020-11-12,198,2254,8.78%,13.72
2020-11-11,252,2552,9.87%,11.75
2020-11-10,206,2496,8.25%,13.12
2020-11-09,238,2615,9.1%,12.34
2020-11-08,244,2380,10.25%,12.09
2020-11-07,101,1308,7.72%,16.77
2020-11-06,203,3197,6.35%,12.13
2020-11-05,244,2700,9.04%,12.22
2020-11-04,244,2503,9.75%,12.75
2020-11-03,239,2373,10.07%,12.14
2020-11-02,139,1642,8.47%,15.48
2020-11-01,198,2071,9.56%,13.38
2020-10-31,101,1145,8.82%,15.52
2020-10-30,116,1353,8.57%,13.79
2020-10-29,234,2365,9.89%,12.97
2020-10-28,234,2314,10.11%,12.29
2020-10-27,210,2376,8.84%,11.83
2020-10-26,228,2471,9.23%,12.52
2020-10-25,168,1789,9.39%,12.45
2020-10-24,88,1060,8.3%,15.86
2020-10-23,114,1431,7.97%,15.11
2020-10-22,195,2221,8.78%,12.68
2020-10-21,223,2406,9.27%,11.44
2020-10-20,190,2261,8.4%,12.44
2020-10-19,204,2345,8.7%,11.99
2020-10-18,165,1970,8.38%,13.77
2020-10-17,105,1093,9.61%,15.34
2020-10-16,105,1352,7.77%,13.75
2020-10-15,224,2337,9.58%,11.35
2020-10-14,196,2180,8.99%,11.58
2020-10-13,220,2264,9.72%,11.5
2020-10-12,208,2315,8.98%,11.67
2020-10-11,168,1743,9.64%,13.33
2020-10-10,76,970,7.84%,14.17
2020-10-09,109,1303,8.37%,14.73
2020-10-08,220,2153,10.22%,12.91
2020-10-07,200,2193,9.12%,12.11
2020-10-06,243,2376,10.23%,10.87
2020-10-05,232,2463,9.42%,11.98
2020-10-04,172,1788,9.62%,12.79
2020-10-03,89,920,9.67%,16.08
2020-10-02,102,1214,8.4%,14.14
2020-10-01,204,1885,10.82%,12.23
2020-09-30,166,1801,9.22%,12.83
2020-09-29,169,1876,9.01%,12.73
2020-09-28,213,2067,10.3%,12.71
2020-09-27,145,1683,8.62%,13.2
2020-09-26,82,1009,8.13%,16.14
2020-09-25,95,1219,7.79%,13.85
2020-09-24,161,1893,8.51%,11.52
2020-09-23,179,1892,9.46%,11.54
2020-09-22,159,1583,10.04%,12.98
2020-09-21,87,984,8.84%,14.29
2020-09-20,75,877,8.55%,17.26
2020-09-19,69,760,9.08%,17.83
2020-09-18,74,1010,7.33%,13.52
2020-09-17,140,1769,7.91%,12.85
2020-09-16,133,1818,7.32%,12.07
2020-09-15,147,1818,8.09%,12.44
2020-09-14,170,2020,8.42%,12
2020-09-13,161,1623,9.92%,12.52
2020-09-12,73,722,10.11%,15.08
2020-09-11,98,1123,8.73%,14.84
2020-09-10,132,1683,7.84%,12.06
2020-09-09,178,1792,9.93%,11.35
2020-09-08,153,1708,8.96%,12.5
2020-09-07,173,1717,10.08%,12.29
2020-09-06,113,1348,8.38%,12.46
2020-09-05,61,789,7.73%,19.54
2020-09-04,72,1028,7%,15.93
2020-09-03,161,1849,8.71%,11.88
2020-09-02,176,1779,9.89%,13.12
2020-09-01,147,1476,9.96%,13.17
2020-08-31,158,1664,9.5%,12.28
2020-08-30,119,1318,9.03%,13.36
2020-08-29,49,717,6.83%,17.76
2020-08-28,87,1013,8.59%,14.9
2020-08-27,177,1820,9.73%,12
2020-08-26,183,1873,9.77%,12.57
2020-08-25,188,1874,10.03%,12.53
2020-08-24,184,1874,9.82%,12.97
2020-08-23,152,1599,9.51%,12.91
2020-08-22,79,915,8.63%,15.47
2020-08-21,119,1286,9.25%,14.43
2020-08-20,167,1907,8.76%,13.15
2020-08-19,149,1846,8.07%,14.96
2020-08-18,175,1851,9.45%,13.89
2020-08-17,190,1848,10.28%,14.41
2020-08-16,134,1444,9.28%,13.07
2020-08-15,79,946,8.35%,18.76
2020-08-14,66,920,7.17%,18.32
2020-08-13,99,1222,8.1%,12.58
2020-08-12,123,1377,8.93%,12.74
2020-08-11,125,1358,9.2%,14.33
2020-08-10,121,1355,8.93%,12.33
2020-08-09,82,984,8.33%,14.62
2020-08-08,70,904,7.74%,19.44
2020-08-07,99,1094,9.05%,14.02
2020-08-06,148,1431,10.34%,12.85
2020-08-05,144,1445,9.97%,12.18
2020-08-04,143,1478,9.68%,10.96
2020-08-03,125,1517,8.24%,11.59
2020-08-02,149,1437,10.37%,10.97
2020-08-01,48,677,7.09%,15.71
2020-07-31,77,992,7.76%,13.21
2020-07-30,144,1509,9.54%,10.91
2020-07-29,135,1504,8.98%,11.09
2020-07-28,149,1564,9.53%,11.67
2020-07-27,187,1751,10.68%,11.52
2020-07-26,135,1329,10.16%,11.87
2020-07-25,73,765,9.54%,14.05
2020-07-24,73,776,9.41%,13.12
2020-07-23,66,763,8.65%,14.07
2020-07-22,85,962,8.84%,15.26
2020-07-21,157,1535,10.23%,12.78
2020-07-20,144,1578,9.13%,12.52
2020-07-19,134,1249,10.73%,11.7
2020-07-18,60,685,8.76%,13.95
2020-07-17,69,831,8.3%,12.93
2020-07-16,131,1461,8.97%,12.51
2020-07-15,166,1599,10.38%,12.12
2020-07-14,176,1661,10.6%,12.32
2020-07-13,153,1632,9.38%,11.91
2020-07-12,124,1353,9.16%,13.05
2020-07-11,83,689,12.05%,15.2
2020-07-10,134,1145,11.7%,16.01
2020-07-09,181,1941,9.33%,12.86
2020-07-08,224,2014,11.12%,12.19
2020-07-07,207,2089,9.91%,14.41
2020-07-06,176,1931,9.11%,12.73
2020-07-05,141,1567,9%,13.01
2020-07-04,88,979,8.99%,16.7
2020-07-03,231,2942,7.85%,14.36
2020-07-02,209,2261,9.24%,14.7
2020-07-01,222,2091,10.62%,13.16
2020-06-30,186,1950,9.54%,13.73
2020-06-29,200,2086,9.59%,11.92
2020-06-28,158,1596,9.9%,13.73
2020-06-27,66,892,7.4%,15.13
2020-06-26,100,1270,7.87%,15.71
2020-06-25,169,1768,9.56%,12.45
2020-06-24,163,1690,9.64%,12.41
2020-06-23,199,1906,10.44%,11.42
2020-06-22,182,1806,10.08%,12.71
2020-06-21,135,1428,9.45%,14.01
2020-06-20,81,798,10.15%,15
2020-06-19,96,1219,7.88%,14.96
2020-06-18,162,1881,8.61%,12.07
2020-06-17,154,1766,8.72%,12.54
2020-06-16,172,1922,8.95%,13.69
2020-06-15,166,1899,8.74%,12.87
2020-06-14,172,1566,10.98%,12.23
2020-06-13,78,877,8.89%,16.36
2020-06-12,135,1204,11.21%,13.09
2020-06-11,163,1868,8.73%,11.5
2020-06-10,180,1991,9.04%,11.74
2020-06-09,183,1769,10.34%,11.72
2020-06-08,195,1816,10.74%,11.97
2020-06-07,133,1456,9.13%,14.26
2020-06-06,54,748,7.22%,15.42
2020-06-05,103,1071,9.62%,12.62
2020-06-04,176,1681,10.47%,11.97
2020-06-03,157,1602,9.8%,12.18
2020-06-02,154,1541,9.99%,11.01
2020-06-01,171,1541,11.1%,12.1
2020-05-31,113,1217,9.29%,12.87
2020-05-30,65,793,8.2%,17.75
2020-05-29,108,1032,10.47%,13.8
2020-05-28,157,1511,10.39%,11.98
2020-05-27,142,1442,9.85%,11.85
2020-05-26,145,1560,9.29%,12.92
2020-05-25,134,1459,9.18%,12.51
2020-05-24,122,1198,10.18%,12.49
2020-05-23,55,713,7.71%,16.52
2020-05-22,86,908,9.47%,15.67
2020-05-21,140,1417,9.88%,12.73
2020-05-20,146,1569,9.31%,14.3
2020-05-19,136,1372,9.91%,13.65
2020-05-18,128,1451,8.82%,13.41
2020-05-17,102,1248,8.17%,14.56
2020-05-16,74,814,9.09%,14.37
2020-05-15,75,860,8.72%,14.88
2020-05-14,137,1438,9.53%,12.51
2020-05-13,121,1355,8.93%,12.92
2020-05-12,113,1314,8.6%,12.94
2020-05-11,113,1244,9.08%,14.25
2020-05-10,101,1226,8.24%,14
2020-05-09,62,756,8.2%,15.38
2020-05-08,73,815,8.96%,15.6
2020-05-07,104,1127,9.23%,13.05
2020-05-06,124,1076,11.52%,12.54
2020-05-05,70,941,7.44%,16.31
2020-05-04,58,864,6.71%,17.07
2020-05-03,54,790,6.84%,21.28
2020-05-02,55,799,6.88%,20.66
2020-05-01,46,706,6.52%,18.73
2020-04-30,96,959,10.01%,12.58
2020-04-29,84,905,9.28%,13.8
2020-04-28,68,779,8.73%,14.63
2020-04-27,84,970,8.66%,15.27
2020-04-26,72,864,8.33%,19.18
2020-04-25,39,450,8.67%,15.4
2020-04-24,47,599,7.85%,14.86
2020-04-23,78,832,9.38%,13.76
2020-04-22,75,893,8.4%,12.25
2020-04-21,90,875,10.29%,12.48
2020-04-20,68,858,7.93%,14.41
2020-04-19,70,736,9.51%,13.16
2020-04-18,45,438,10.27%,14.59
2020-04-17,51,528,9.66%,14.53
2020-04-16,58,688,8.43%,15.1
2020-04-15,67,773,8.67%,14.39
2020-04-14,62,763,8.13%,14.48
2020-04-13,75,812,9.24%,15.41
2020-04-12,51,684,7.46%,15.99
2020-04-11,31,375,8.27%,20.35
2020-04-10,37,454,8.15%,18.29
2020-04-09,64,774,8.27%,14.78
2020-04-08,71,861,8.25%,15.59
2020-04-07,66,835,7.9%,14.7
2020-04-06,67,821,8.16%,14.65
2020-04-05,48,726,6.61%,16.08
2020-04-04,17,370,4.59%,18.01
2020-04-03,33,473,6.98%,17.42
2020-04-02,51,699,7.3%,16.46
2020-04-01,72,796,9.05%,14.87
2020-03-31,79,697,11.33%,15.36
2020-03-30,64,708,9.04%,16.15
2020-03-29,42,553,7.59%,17.63
2020-03-28,27,320,8.44%,22.46
2020-03-27,43,453,9.49%,21.23
2020-03-26,64,638,10.03%,16.48
2020-03-25,81,866,9.35%,15.86
2020-03-24,96,952,10.08%,15.86
2020-03-23,64,681,9.4%,14.93
2020-03-22,43,569,7.56%,17.18
2020-03-21,27,307,8.79%,20.5
2020-03-20,33,323,10.22%,16.99
2020-03-19,39,422,9.24%,16.18
2020-03-18,52,626,8.31%,16.24
2020-03-17,59,661,8.93%,15.28
2020-03-16,68,753,9.03%,16.59
2020-03-15,40,526,7.6%,17.92
2020-03-14,25,296,8.45%,22.28
2020-03-13,34,950,3.58%,14.2
2020-03-12,73,716,10.2%,17.84
2020-03-11,47,626,7.51%,17.19
2020-03-10,50,628,7.96%,14.91
2020-03-09,58,739,7.85%,20.78
2020-03-08,45,558,8.06%,16.54
2020-03-07,19,346,5.49%,18.75
2020-03-06,32,362,8.84%,17.74
2020-03-05,67,685,9.78%,19.88
2020-03-04,58,658,8.81%,23.25
2020-03-03,52,647,8.04%,25.7
2020-03-02,60,666,9.01%,25.96
2020-03-01,52,546,9.52%,27.57
2020-02-29,10,262,3.82%,23.92
2020-02-28,35,326,10.74%,17.7
2020-02-27,32,443,7.22%,13.71
2020-02-26,53,539,9.83%,14.29
2020-02-25,47,528,8.9%,14.53
2020-02-24,35,520,6.73%,17.86
2020-02-23,23,316,7.28%,19.84
2020-02-22,29,338,8.58%,15.7
2020-02-21,48,486,9.88%,15.12
2020-02-20,66,817,8.08%,12.84
2020-02-19,59,725,8.14%,12.81
2020-02-18,84,896,9.38%,13.24
2020-02-17,83,911,9.11%,13.64
2020-02-16,78,797,9.79%,13.37
2020-02-15,39,400,9.75%,15.22
2020-02-14,46,490,9.39%,14.33
2020-02-13,84,908,9.25%,12.79
2020-02-12,80,924,8.66%,11.71
2020-02-11,60,758,7.92%,12.21
2020-02-10,46,513,8.97%,12.94
2020-02-09,79,786,10.05%,13.06
2020-02-08,34,392,8.67%,18.18
2020-02-07,44,498,8.84%,15.02
2020-02-06,86,793,10.84%,13.18
2020-02-05,104,899,11.57%,12.52
2020-02-04,94,966,9.73%,13.08
2020-02-03,93,969,9.6%,12.12
2020-02-02,68,709,9.59%,11.99
2020-02-01,45,362,12.43%,15.78
2020-01-31,49,511,9.59%,13.97
2020-01-30,92,961,9.57%,13.3
2020-01-29,81,948,8.54%,11.58
2020-01-28,69,961,7.18%,12.69
2020-01-27,74,960,7.71%,13.1
2020-01-26,75,867,8.65%,14.08
2020-01-25,30,423,7.09%,15.67
2020-01-24,22,482,4.56%,16.72
2020-01-23,69,943,7.32%,13.15
2020-01-22,79,917,8.62%,12.73
2020-01-21,96,1074,8.94%,13.71
2020-01-20,95,1005,9.45%,13.83
2020-01-19,88,883,9.97%,12.12
2020-01-18,34,456,7.46%,18.75
2020-01-17,44,574,7.67%,17.18
2020-01-16,85,933,9.11%,13.31
2020-01-15,106,1115,9.51%,13.99
2020-01-14,101,1191,8.48%,13.73
2020-01-13,93,1026,9.06%,15.86
2020-01-12,55,635,8.66%,21.7
2020-01-11,33,509,6.48%,27.11
2020-01-10,45,482,9.34%,13.84
2020-01-09,82,948,8.65%,13.43
2020-01-08,90,928,9.7%,13.76
2020-01-07,77,901,8.55%,14.99
2020-01-06,97,1024,9.47%,13
2020-01-05,63,706,8.92%,14.29
2020-01-04,28,387,7.24%,20.01
2020-01-03,34,406,8.37%,21.2